Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
07-SEP-2009,4682.4,4790,4679.3,4782.9,243162111,8418.82
04-SEP-2009,4608.7,4697.2,4580.35,4680.4,243559408,7885.25
03-SEP-2009,4608.75,4647.35,4581.05,4593.55,245965172,7664.43
02-SEP-2009,4624,4650.45,4576.6,4608.35,265745955,8466.96
01-SEP-2009,4662.2,4735.9,4600.65,4625.35,332639046,9952.01
31-AUG-2009,4730.85,4730.85,4635,4662.1,355947859,9366.93
28-AUG-2009,4688.4,4743.75,4651.4,4732.35,285794817,8769.6
27-AUG-2009,4679,4707.9,4645.15,4688.2,230998335,8572.49
26-AUG-2009,4659.45,4697.8,4659.1,4680.85,208840330,7346.21
25-AUG-2009,4641.65,4672.9,4582.5,4659.35,248995054,8299.73
24-AUG-2009,4536.95,4656.3,4536.95,4642.8,207902560,7027.01
21-AUG-2009,4453.45,4538.7,4400.9,4528.8,185694578,7403.77
20-AUG-2009,4394.35,4492.8,4394.35,4453.45,166600981,5675.53
19-AUG-2009,4457.75,4477.55,4353.45,4394.1,254668765,8296.66
18-AUG-2009,4389.5,4491.45,4372.65,4458.9,265217123,8599.04
17-AUG-2009,4578.8,4578.8,4374.6,4387.9,252330559,8387.98
14-AUG-2009,4605.15,4619,4559.35,4580.05,222992686,8149
13-AUG-2009,4458.55,4614.15,4458.55,4605,253540980,8883.22
12-AUG-2009,4473.8,4473.8,4359.4,4457.5,274149382,9375.42
11-AUG-2009,4435,4510.8,4398.9,4471.35,250129719,9082.78
10-AUG-2009,4486.5,4562.5,4399.85,4437.65,284079082,10028.43
07-AUG-2009,4591.9,4591.9,4463.95,4481.4,266871982,9772.77
06-AUG-2009,4694.35,4718.15,4559.2,4585.5,278150681,10973.92
05-AUG-2009,4680.95,4717.2,4629.85,4694.15,244640641,9312.86
04-AUG-2009,4706.25,4731.45,4642.6,4680.5,322871852,10938.39
03-AUG-2009,4633.8,4723.75,4617.75,4711.4,277002677,8717.22
31-JUL-2009,4571.6,4669.75,4571.6,4636.45,300437149,10951.04
30-JUL-2009,4513.1,4582.35,4474.5,4571.45,338985380,13121.84
29-JUL-2009,4565.8,4573.85,4420.8,4513.5,368035721,12501.05
28-JUL-2009,4572.8,4599.9,4529.15,4564.1,382344566,12576.09
27-JUL-2009,4568.65,4596.75,4528.5,4572.3,277017434,10388.02
24-JUL-2009,4524.8,4578.75,4504.85,4568.55,351255586,11501.51
23-JUL-2009,4409.7,4532.4,4405.95,4523.75,273052133,10580
22-JUL-2009,4469.3,4557.95,4380.45,4398.9,337796915,11688.74
21-JUL-2009,4501.5,4524,4436.6,4469.1,311984330,10289.73
20-JUL-2009,4377.9,4510.3,4377.9,4502.25,280309302,10151.33
17-JUL-2009,4231.45,4390.4,4230.15,4374.95,250233020,9545.1
16-JUL-2009,4223.5,4305,4205.5,4231.4,292288337,10209.96
15-JUL-2009,4120.8,4249.55,4118.75,4233.5,254611958,8138.11
14-JUL-2009,3974.1,4128.9,3974.1,4111.4,242076783,7797.11
13-JUL-2009,4003.4,4003.4,3918.75,3974.05,273186872,7530.57
10-JUL-2009,4081.4,4129.95,3976.8,4003.9,303001008,8770.17
09-JUL-2009,4078.75,4114.9,4039.85,4080.95,406359501,9201.81
08-JUL-2009,4201.85,4201.85,4061.1,4078.9,339578445,10077.55
07-JUL-2009,4166,4231.8,4155.5,4202.15,290915989,10299.04
06-JUL-2009,4429.6,4479.8,4133.7,4165.7,365737764,12648.38
03-JUL-2009,4347.3,4434.45,4298.95,4424.25,224680237,8374.4
02-JUL-2009,4373.5,4383.65,4288.75,4348.85,259079398,9730.33
01-JUL-2009,4292.3,4362.3,4249.7,4340.9,289982752,8654.14
30-JUN-2009,4391.5,4426.75,4267.35,4291.1,336647021,9901.53
29-JUN-2009,4375.4,4439.95,4350.9,4390.95,293321334,9591.85
26-JUN-2009,4243.95,4383.75,4243.95,4375.5,284570041,10065.52
25-JUN-2009,4293.85,4337.95,4221.15,4241.85,407987742,12847.28
24-JUN-2009,4247.3,4307,4218.25,4292.95,311199175,9512.27
23-JUN-2009,4223.3,4267.45,4143.25,4247,339990201,10880.96
22-JUN-2009,4314.2,4352.25,4221.9,4235.25,270808678,9103.94
19-JUN-2009,4251.1,4326.2,4206.7,4313.6,350066880,10401.79
18-JUN-2009,4352.95,4375.3,4222.15,4251.4,373404826,11542.45
17-JUN-2009,4515.35,4517.8,4332.8,4356.15,327627945,11194.56
16-JUN-2009,4478.1,4537.95,4405.95,4517.8,320009267,10807.47
15-JUN-2009,4584.65,4601.05,4469.6,4484,322454082,10755.98
12-JUN-2009,4637.55,4693.2,4566.15,4583.4,351580404,11400.58
11-JUN-2009,4657.4,4679.55,4586.15,4637.7,391597868,11474.46
10-JUN-2009,4551.7,4688.95,4551.7,4655.25,392189746,13099.93
09-JUN-2009,4427.75,4562.45,4365.1,4550.95,414282839,12049.96
08-JUN-2009,4582.35,4611.4,4404.65,4429.9,370092839,10824.22
05-JUN-2009,4573.3,4636.85,4561.95,4586.9,409906842,12907.88
04-JUN-2009,4530.3,4582.2,4453.45,4572.65,424050722,12563.65
03-JUN-2009,4525.5,4574.9,4478.6,4530.7,415829528,12131.57
02-JUN-2009,4530.45,4586.4,4451.3,4525.25,396327441,12565.07
01-JUN-2009,4450.4,4545.4,4450.4,4529.9,464256409,12781.61
29-MAY-2009,4340.75,4488.05,4340.75,4448.95,506796280,15181.73
28-MAY-2009,4276.15,4354.85,4254.85,4337.1,460439887,16067.32
27-MAY-2009,4117.3,4286.45,4115.25,4276.05,353499631,12173.35
26-MAY-2009,4239.55,4256.05,4092.25,4116.7,308739530,9501.71
25-MAY-2009,4238.1,4270.05,4205.1,4237.55,299302991,9104.62
22-MAY-2009,4211.85,4249.5,4155.85,4238.5,284165388,10572.97
21-MAY-2009,4270.35,4319,4199.2,4210.9,353070384,12290.03
20-MAY-2009,4318.75,4362.85,4244.7,4270.3,471343167,16917.63
19-MAY-2009,4324.95,4509.4,4167.65,4318.45,670982325,26002.26
18-MAY-2009,3673.15,4384.3,3673.15,4323.15,2768292,113.99
15-MAY-2009,3597.85,3686.25,3597.85,3671.65,300880814,8655.24
14-MAY-2009,3631.9,3631.9,3537.6,3593.45,288154287,8138.79
13-MAY-2009,3668.75,3709.6,3610.2,3635.25,360452738,9800.15
12-MAY-2009,3554.65,3691.65,3534.2,3681.1,366055503,9550.49
11-MAY-2009,3615.75,3660.2,3534.55,3554.6,285340638,7858.78
08-MAY-2009,3681.8,3711.25,3582.85,3620.7,291694964,8529.4
07-MAY-2009,3617.15,3692.05,3617.15,3683.9,326304598,8827.72
06-MAY-2009,3662,3717.05,3608.65,3625.05,408101644,11559.2
05-MAY-2009,3664.5,3682.2,3618.75,3661.9,442066443,11236.79
04-MAY-2009,3478.7,3664.5,3478.7,3654,363866099,10112.76
29-APR-2009,3371.65,3486.4,3366.7,3473.95,483582317,9703.94
28-APR-2009,3469.5,3471.95,3351.5,3362.35,287134649,7904.38
27-APR-2009,3481.3,3517.25,3435.3,3470,315936295,9077.06
24-APR-2009,3423.6,3491.35,3402.9,3480.75,306127718,8604.04
23-APR-2009,3330.5,3439.9,3310.5,3423.7,315691090,7864.54
22-APR-2009,3364.6,3401.1,3296.9,3330.3,327292987,7932.51
21-APR-2009,3376.85,3414.7,3309.35,3365.3,344667947,9069.56
20-APR-2009,3384.75,3441.1,3339.45,3377.1,341798670,8834.22
17-APR-2009,3369.5,3489.85,3359.25,3384.4,491159908,11504.6
16-APR-2009,3484.35,3511.25,3354.2,3369.5,559549931,13209.78
15-APR-2009,3381.45,3497.55,3311.8,3484.15,458489468,12280.2
13-APR-2009,3342.2,3417.8,3334.15,3382.6,331534301,8324.35
09-APR-2009,3346,3401.15,3307.05,3342.05,414637960,9984.24
08-APR-2009,3255.35,3357.05,3149.25,3342.95,409030235,11116.42
06-APR-2009,3211.35,3303.9,3211.35,3256.6,357065601,9499.48
02-APR-2009,3061.05,3228.75,3061.05,3211.05,370836234,9558.67
01-APR-2009,3023.85,3069.3,2965.7,3060.35,319442080,8011.16
31-MAR-2009,2981.7,3054.3,2966.4,3020.95,341399212,9022.52
30-MAR-2009,3108.75,3110.2,2962.4,2978.15,275780455,7100.27
27-MAR-2009,3079.4,3123.35,3055.9,3108.65,326572500,8599.65
26-MAR-2009,2982.25,3103.35,2982.25,3082.25,416183641,10418
25-MAR-2009,2938.8,2996.5,2923.3,2984.35,383648320,8513.26
24-MAR-2009,2923.8,3017.4,2914.5,2938.7,383117195,8871.12
23-MAR-2009,2807.25,2949.75,2807.25,2939.9,251175674,6304.76
20-MAR-2009,2807.35,2816.1,2773.65,2807.05,186838911,5043.96
19-MAR-2009,2797.05,2822.25,2771.35,2807.15,223408426,5394.07
18-MAR-2009,2757.65,2836.05,2752.25,2794.7,261792179,6173.86
17-MAR-2009,2776.35,2805.6,2738.7,2757.45,288783952,6224.49
16-MAR-2009,2716.05,2781.95,2701.95,2777.25,263151493,6059.64
13-MAR-2009,2616.6,2726.15,2616.6,2719.25,263891931,6795.09
12-MAR-2009,2574.5,2646.1,2574.5,2617.45,213787846,5949.63
09-MAR-2009,2620.1,2621.25,2555.6,2573.15,166405852,4048.08
06-MAR-2009,2576.75,2628.1,2539.45,2620.15,242507546,6344.12
05-MAR-2009,2645.9,2663.9,2564.1,2576.7,247491627,6319.79
04-MAR-2009,2611.95,2655.7,2611.95,2645.2,202951378,5363.25
03-MAR-2009,2672.15,2688.5,2611.55,2622.4,217640315,5181
02-MAR-2009,2764.6,2764.6,2659.55,2674.6,194233262,4644.21
27-FEB-2009,2785.7,2787.2,2708.45,2763.65,231597805,6084.46
26-FEB-2009,2762.2,2797.8,2731.9,2785.65,250274333,6046.44
25-FEB-2009,2733.45,2789.35,2733.45,2762.5,176810272,4323.67
24-FEB-2009,2737.25,2746.2,2677.55,2733.9,182727347,4407.14
20-FEB-2009,2789.3,2789.3,2709.3,2736.45,154745737,3882.17
19-FEB-2009,2776.7,2802.15,2767.6,2789.35,174587983,4162.96
18-FEB-2009,2755.15,2806.5,2736.65,2776.15,214170731,4940.89
17-FEB-2009,2853.85,2854.65,2757.3,2770.5,191473117,4495.99
16-FEB-2009,2948.25,2953.2,2839.1,2848.5,246055796,5049.41
13-FEB-2009,2896.95,2969.75,2896.85,2948.35,195741802,4681.6
12-FEB-2009,2927.4,2939,2886.55,2893.05,214711779,4346.89
