"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","11 Aug 1999","916.30","931.69","909.00","922.53"
"NIFTY 500","10 Aug 1999","926.14","926.14","913.11","916.73"
"NIFTY 500","09 Aug 1999","914.99","928.90","913.35","925.81"
"NIFTY 500","06 Aug 1999","914.95","916.78","910.83","914.54"
"NIFTY 500","05 Aug 1999","918.27","930.80","910.64","914.87"
"NIFTY 500","04 Aug 1999","892.27","919.97","892.27","918.13"
"NIFTY 500","03 Aug 1999","888.87","892.59","884.00","892.19"
"NIFTY 500","02 Aug 1999","904.78","905.29","886.51","888.85"
"NIFTY 500","30 Jul 1999","912.31","912.31","901.24","905.03"
"NIFTY 500","29 Jul 1999","913.56","918.45","905.72","912.31"
"NIFTY 500","28 Jul 1999","901.83","918.99","901.80","913.18"
"NIFTY 500","27 Jul 1999","909.77","910.17","896.47","901.75"
"NIFTY 500","26 Jul 1999","917.30","917.34","904.94","909.66"
"NIFTY 500","23 Jul 1999","924.54","931.43","916.09","917.16"
"NIFTY 500","22 Jul 1999","916.70","932.23","916.70","924.53"
"NIFTY 500","21 Jul 1999","900.42","921.40","892.52","917.65"
"NIFTY 500","20 Jul 1999","921.44","921.44","892.79","900.38"
"NIFTY 500","19 Jul 1999","904.33","926.32","904.33","921.43"
"NIFTY 500","16 Jul 1999","896.81","905.40","891.26","903.86"
"NIFTY 500","15 Jul 1999","915.02","929.44","892.03","896.49"
"NIFTY 500","14 Jul 1999","899.87","914.58","894.60","914.51"
"NIFTY 500","13 Jul 1999","898.76","912.85","896.25","899.81"
"NIFTY 500","12 Jul 1999","856.24","899.76","856.24","898.30"
"NIFTY 500","09 Jul 1999","845.38","859.32","845.38","856.24"
"NIFTY 500","08 Jul 1999","845.93","850.48","842.66","845.35"
"NIFTY 500","07 Jul 1999","842.76","854.99","842.76","845.57"
"NIFTY 500","06 Jul 1999","833.26","843.44","833.26","842.68"
"NIFTY 500","05 Jul 1999","811.68","833.83","811.68","833.23"
"NIFTY 500","02 Jul 1999","804.13","814.98","804.07","811.65"
"NIFTY 500","01 Jul 1999","806.46","812.90","800.75","804.03"
"NIFTY 500","30 Jun 1999","807.79","809.53","802.27","806.12"
"NIFTY 500","29 Jun 1999","807.98","812.47","804.24","807.74"
"NIFTY 500","28 Jun 1999","798.94","809.40","798.94","807.96"
"NIFTY 500","25 Jun 1999","799.48","810.09","796.21","798.49"
"NIFTY 500","24 Jun 1999","805.82","805.94","794.74","799.34"
"NIFTY 500","23 Jun 1999","816.88","823.26","805.37","805.76"
"NIFTY 500","22 Jun 1999","807.88","817.38","806.01","816.86"
"NIFTY 500","21 Jun 1999","790.59","808.25","790.59","807.92"
"NIFTY 500","18 Jun 1999","793.10","799.05","789.34","790.45"
"NIFTY 500","17 Jun 1999","778.24","795.25","778.24","792.20"
"NIFTY 500","16 Jun 1999","761.12","779.94","756.99","778.12"
"NIFTY 500","15 Jun 1999","769.57","777.96","759.46","761.08"
"NIFTY 500","14 Jun 1999","782.17","782.17","757.00","769.54"
"NIFTY 500","11 Jun 1999","795.88","795.98","781.58","782.38"
"NIFTY 500","10 Jun 1999","793.43","802.26","793.43","795.86"
"NIFTY 500","09 Jun 1999","800.51","805.39","792.46","793.41"
"NIFTY 500","08 Jun 1999","787.15","808.62","775.30","800.03"
"NIFTY 500","07 Jun 1999","786.70","799.40","782.61","787.14"
"NIFTY 500","04 Jun 1999","776.87","789.98","776.87","786.69"
"NIFTY 500","03 Jun 1999","768.41","779.53","768.41","776.87"
