date,rate,source,is_reference_rate,source_files
1999-05-12,42.7497,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-13,42.7497,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-14,42.7606,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-17,42.7405,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-18,42.7296,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-19,42.7296,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-20,42.7606,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-21,42.7497,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-24,42.7497,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-25,42.7405,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-26,42.8101,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-27,42.9,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-28,42.9904,RBI_REFERENCE_RATE,True,BankWise.xls
1999-05-31,42.8394,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-01,42.8706,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-02,42.9406,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-03,42.9295,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-04,42.9406,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-07,43.0108,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-08,42.9793,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-09,43.0496,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-10,43.02,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-11,43.0608,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-14,43.1295,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-15,43.1798,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-16,43.1891,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-17,43.1704,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-18,43.1499,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-21,43.1704,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-22,43.1891,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-23,43.2395,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-24,43.3294,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-25,43.3896,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-28,43.3595,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-29,43.3595,RBI_REFERENCE_RATE,True,BankWise.xls
1999-06-30,43.3595,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-01,43.3802,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-02,43.3802,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-05,43.2807,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-06,43.2807,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-07,43.29,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-08,43.3595,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-09,43.3896,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-12,43.2395,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-13,43.2302,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-14,43.2395,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-15,43.2694,RBI_REFERENCE_RATE,True,BankWise.xls
